,Time (min),Valve Position (% open),Temperature (degC)
461,2305,100,45.5
462,2310,100,45.6
463,2315,100,45.6
464,2320,100,45.7
465,2325,100,45.5
466,2330,100,45.6
467,2335,100,45.6
468,2340,100,45.7
469,2345,100,45.8
470,2350,100,45.7
471,2355,100,45.7
472,2360,100,45.6
473,2365,100,45.8
474,2370,100,45.7
475,2375,100,45.9
476,2380,100,45.8
477,2385,100,45.8
478,2390,100,45.7
479,2395,100,45.6
480,2400,100,45.9
481,2405,100,45.7
482,2410,100,45.7
483,2415,100,45.7
484,2420,100,45.7
485,2425,100,45.8
486,2430,100,45.9
487,2435,100,45.8
488,2440,100,45.7
489,2445,100,45.9
490,2450,100,45.8
491,2455,100,45.7
492,2460,100,45.9
493,2465,100,45.9
494,2470,100,45.9
495,2475,100,45.9
496,2480,100,45.7
497,2485,100,45.8
498,2490,100,45.7
499,2495,100,45.7
500,2500,100,45.9
501,2505,100,45.8
502,2510,100,45.9
503,2515,100,45.8
504,2520,100,45.7
505,2525,100,45.7
506,2530,100,45.9
507,2535,100,45.8
508,2540,100,45.9
509,2545,100,45.9
510,2550,100,45.9
511,2555,100,45.7
512,2560,100,46.0
513,2565,100,45.8
514,2570,100,45.8
515,2575,100,45.9
516,2580,100,46.0
517,2585,100,45.8
518,2590,100,46.0
519,2595,100,45.8
520,2600,100,45.8
521,2605,100,45.9
522,2610,100,46.0
523,2615,100,46.0
524,2620,100,45.9
525,2625,100,46.0
526,2630,100,46.1
527,2635,100,45.9
528,2640,100,46.0
529,2645,100,46.0
530,2650,100,45.9
531,2655,100,46.0
532,2660,100,46.0
533,2665,100,46.0
534,2670,100,46.0
535,2675,100,46.1
536,2680,100,46.0
537,2685,100,46.1
538,2690,100,46.1
539,2695,100,46.0
540,2700,100,45.9
541,2705,100,46.1
542,2710,100,45.9
543,2715,100,46.1
544,2720,100,46.0
545,2725,100,46.0
546,2730,100,46.1
547,2735,100,46.0
548,2740,100,46.0
549,2745,100,46.0
550,2750,100,46.0
551,2755,100,46.0
552,2760,100,46.0
553,2765,100,45.8
554,2770,100,46.0
555,2775,100,46.0
556,2780,100,45.8
557,2785,100,45.9
558,2790,100,45.9
559,2795,100,45.9
560,2800,100,45.9
561,2805,100,46.0
562,2810,100,46.0
563,2815,100,46.0
564,2820,100,46.0
565,2825,100,46.0
566,2830,100,45.9
567,2835,100,45.9
568,2840,100,45.9
569,2845,100,45.9
570,2850,100,45.9
571,2855,100,46.0
